ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
97,2,0.177054046,0.30278778,0.271698379,0.08979488,0.005552906,0.015056937,77.70735357,13610,0.037406539,0.936591037,74.12712761,223.6067267,0.331506698
98,2,0.115666595,0.288090297,0.286427878,0.077700754,0.005640926,0.018359799,94.49321931,13737,0.036948679,0.933252979,77.19984625,225.7549997,0.341962953
99,2,0.154212815,0.309334061,0.279713281,0.084375488,0.005106601,0.018885603,53.44902307,13909,0.036766985,0.936848778,74.82361501,226.148563,0.330860449
100,2,0.11269613,0.292556999,0.277274157,0.060511337,0.013958691,0.009492726,47.52402685,13741,0.03667979,0.92856433,77.79972525,223.8085619,0.347617288
101,2,0.108221979,0.287448487,0.263215786,0.062752693,0.006614366,0.017234556,49.51729628,13525,0.037957116,0.939455918,73.135239,231.180096,0.316356123
102,2,0.106938641,0.289744435,0.286909287,0.079729253,0.015637428,0.019329562,38.88217527,13725,0.038214499,0.93042399,77.6132288,226.0390566,0.343362028
103,2,0.154211155,0.280475175,0.263717963,0.058093781,0.01217417,0.024294196,121.899143,13241,0.038214183,0.931994629,76.67151992,225.6297906,0.339811156
104,2,0.12265207,0.296506127,0.243739654,0.080846236,0.012311394,0.014524971,47.68137736,13666,0.037714986,0.929869073,79.66117735,227.6165555,0.349979716
105,2,0.150859019,0.321136327,0.288851011,0.075251724,0.010154381,0.015164525,107.3682466,13959,0.036977864,0.933747084,75.52490042,223.1896271,0.338388936
106,2,0.138358087,0.300489209,0.290987439,0.08146038,0.010692309,0.016483964,116.6725982,13942,0.036597619,0.931022905,76.29737946,223.7131354,0.341050065
107,2,0.110569132,0.297908001,0.269570351,0.066290835,0.008216071,0.01709727,55.15377025,13786,0.036783331,0.929273225,77.9398655,226.1262149,0.34467417
108,2,0.129790054,0.306642411,0.260640055,0.063554867,0.009255591,0.00698401,74.11557744,13753,0.037059696,0.93370701,76.64133386,225.7376992,0.339514995
109,2,0.184935653,0.287520077,0.269073073,0.103215988,0.007678298,0.01733246,89.34496437,14350,0.037046272,0.932083921,79.07334231,234.7645092,0.336819831
110,2,0.100689292,0.301933303,0.295818247,0.062465704,0.0076173,0.021067285,50.19347295,13535,0.036915996,0.927503616,77.00780823,219.9911986,0.350049496
111,2,0.147425173,0.294203898,0.2506536,0.093295917,0.010935865,0.015741552,35.75611163,13319,0.038991891,0.942588717,70.35507984,229.5689647,0.306465989
112,2,0.149919781,0.275988117,0.259842425,0.102302577,0.003184261,0.012800595,46.3273364,13484,0.03849822,0.945100918,70.93326985,234.5213569,0.302459745
113,2,0.10733406,0.307401975,0.272675243,0.057741323,0.007275791,0.012098343,79.93805828,14342,0.036079766,0.928642148,80.97264743,227.4079477,0.356067799
114,2,0.128320717,0.303874787,0.286544823,0.064041817,0.00893242,0.014219204,101.2734608,13178,0.03798194,0.932604532,74.46945545,218.274571,0.341173299
115,2,0.145329457,0.313785535,0.291363509,0.065798296,0.007723083,0.015644569,43.83255693,13552,0.036722034,0.926336776,77.32297943,217.65667,0.355252056
116,2,0.100192872,0.304322028,0.275789973,0.054462233,0.007247709,0.01492747,50.76553771,14210,0.036307248,0.932737864,76.53282622,229.261451,0.333823353
117,2,0.101075167,0.274235139,0.255883881,0.060767357,0.00963807,0.011223636,78.82136656,13463,0.038835252,0.946428189,70.75240606,232.6784598,0.304078023
118,2,0.10928473,0.297891724,0.283401558,0.062717538,0.01174898,0.015506551,63.53474988,14449,0.036319261,0.927848999,79.74055344,228.4493805,0.349051301
119,2,0.12195375,0.296387878,0.284736094,0.058764228,0.00546268,0.013172127,53.76931676,14611,0.036135446,0.932092064,79.73535397,231.9200738,0.343805315
120,2,0.108707603,0.304643917,0.264611673,0.062027201,0.011295278,0.015251446,42.04303748,14619,0.0358504,0.929087996,81.39579397,231.4719299,0.35164434
121,2,0.101037711,0.257930565,0.257177567,0.066323416,0.022473277,0.010634456,52.68933751,14034,0.038672438,0.945983042,72.42117105,239.087584,0.302906449
122,2,0.120339718,0.280963975,0.286287947,0.083369255,0.007170583,0.012893418,37.61242969,14818,0.035602241,0.932351821,79.97979528,236.9532269,0.337534105
123,2,0.130816842,0.322561588,0.294493291,0.074205882,0.012086675,0.017277216,52.50638551,13350,0.037045318,0.924167996,77.16882766,214.697788,0.359430008
124,2,0.105244343,0.305414667,0.293980098,0.0612631,0.011843022,0.011641377,47.99052235,13588,0.03643244,0.922643873,80.49452244,217.5164775,0.370061723
125,2,0.115664982,0.314308961,0.291732318,0.058128839,0.006246454,0.017639031,98.66149297,14545,0.035377724,0.926672565,80.19751678,226.7779775,0.35363891
126,2,0.126889805,0.277545001,0.253844821,0.075127358,0.007622024,0.006334357,78.58552186,13058,0.039538827,0.948693277,68.91683698,231.1026839,0.298208726
127,2,0.154726771,0.304029967,0.28830668,0.082934553,0.008201936,0.012795825,109.3189325,14129,0.035937646,0.922806434,80.59897656,221.2600609,0.364272595
128,2,0.110224574,0.305715515,0.278727247,0.056108425,0.004421689,0.011517603,91.82137849,14855,0.035746348,0.929512618,81.36986666,231.5594258,0.351399501
129,2,0.133640407,0.296981774,0.271265997,0.085839447,0.010547599,0.016578069,59.55035271,14476,0.037300843,0.929232045,78.94530335,234.857335,0.336141528
130,2,0.106200791,0.297738575,0.281146941,0.058326713,0.007789528,0.013482788,83.63381129,14959,0.035662411,0.937392317,77.93157461,236.9202421,0.328935907
131,2,0.084595583,0.249699466,0.252723915,0.056689197,0.007399583,0.013688595,72.19352806,13003,0.039681227,0.94790777,70.6996424,233.7910628,0.30240524
132,2,0.131722782,0.274406114,0.273532034,0.081546402,0.00196228,0.012852854,72.0083154,12960,0.039661806,0.935565108,75.54033682,220.6028246,0.342426879
133,2,0.148992606,0.251974758,0.251400575,0.078651955,0.006446619,0.009635847,68.14550925,12693,0.039903726,0.945935093,70.70285809,229.4870225,0.308090877
134,2,0.146659915,0.320307352,0.262113977,0.075446491,0.007371542,0.014680907,109.1101007,14826,0.03642358,0.933073437,78.81395992,235.1764772,0.335126884
135,2,0.151772658,0.301676005,0.294249363,0.092885574,0.007751895,0.013185944,84.65363166,14421,0.035614312,0.922544565,83.00398468,225.4425926,0.368182355
136,2,0.131899779,0.324349688,0.270374225,0.071084657,0.014458543,0.016650836,102.1573929,14096,0.036525823,0.923889994,79.48769129,225.1939229,0.352974407
