ID,Species,F1,F2,F3,F2/F3,F1/V,Eccentricity
1,BC15,0.26242,0.20654,0.17159,0.15826,0.13428,0.11743
2,BC15,0.31821,0.23118,0.18412,0.17612,0.14412,0.12382
3,BC15,0.32834,0.25076,0.19865,0.18694,0.15487,0.1326
4,BC15,0.27924,0.20974,0.17183,0.16021,0.13328,0.11572
5,BC15,0.32191,0.23589,0.19659,0.18134,0.14963,0.12903
6,BC15,0.23378,0.17452,0.14777,0.13832,0.11693,0.10346
7,BC15,0.25224,0.1889,0.15847,0.15009,0.1274,0.11368
8,BC15,0.2389,0.17711,0.14424,0.14109,0.1195,0.10611
9,BC15,0.19823,0.15471,0.12348,0.11756,0.099314,0.087715
10,BC15,0.24689,0.18965,0.15846,0.14811,0.12492,0.10949
11,BC15,0.27405,0.20697,0.16924,0.15734,0.13062,0.11333
12,BC15,0.26697,0.20423,0.15323,0.15319,0.12807,0.1119
13,BC15,0.25247,0.20593,0.17747,0.16322,0.14217,0.12855
14,BC15,0.19008,0.14708,0.12808,0.11717,0.10071,0.090693
15,BC15,0.1917,0.15557,0.12939,0.1231,0.10732,0.096363
16,BC15,0.20416,0.16862,0.14128,0.13138,0.11406,0.10173
17,BC15,0.17071,0.1476,0.11285,0.11089,0.096975,0.086165
18,BC15,0.22918,0.18135,0.13884,0.13566,0.11459,0.1001
19,BC15,0.22945,0.17725,0.14026,0.13833,0.11808,0.10467
20,BC15,0.22604,0.17372,0.14048,0.1376,0.11814,0.10614
21,BC15,0.23394,0.19039,0.15151,0.14464,0.12336,0.10803
22,BC15,0.17687,0.14449,0.12187,0.11336,0.098744,0.08814
23,BC15,0.18321,0.14748,0.13067,0.11921,0.10444,0.094796
24,BC15,0.18366,0.1487,0.12883,0.12175,0.10773,0.098528
25,BC15,0.17133,0.14263,0.1058,0.10923,0.095356,0.085386
26,BC15,0.21713,0.16939,0.13337,0.13052,0.11127,0.098346
27,BC15,0.23884,0.18077,0.14287,0.14058,0.11958,0.10651
28,BC15,0.22249,0.17835,0.14146,0.1348,0.11513,0.10133
29,BC15,0.2277,0.18125,0.14677,0.13912,0.11877,0.10452
30,BC15,0.16406,0.13719,0.1157,0.10757,0.094143,0.084767
31,BC15,0.18284,0.14717,0.11949,0.11586,0.10072,0.090535
32,BC15,0.17239,0.14491,0.12402,0.1157,0.10235,0.093551
33,BC15,0.15629,0.12158,0.10063,0.098313,0.085581,0.078254
34,BC15,0.19011,0.15651,0.12256,0.12101,0.10547,0.094849
35,BC15,0.21377,0.16194,0.1396,0.1297,0.11114,0.099773
36,BC15,0.19143,0.1417,0.12231,0.11646,0.099954,0.090381
