ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
193,3,0.128427478,0.236960778,0.254486017,0.111455427,0.000598089,0.028309543,79.19457458,12240,0.042264297,0.95348425,64.5849897,233.7540643,0.276294617
194,3,0.0833175,0.239507325,0.255751925,0.065280562,0.005843859,0.018357657,73.43490799,12370,0.041221665,0.952512442,66.48569048,231.5752558,0.287101876
195,3,0.148262658,0.249727276,0.25756846,0.104691548,0.005056473,0.011989244,39.65159851,12307,0.041502641,0.951381949,64.88887934,230.478487,0.281539853
196,3,0.105561097,0.251240024,0.245021116,0.073802447,0.002570569,0.012831386,75.5888406,12313,0.041056607,0.949376931,66.5364658,229.24151,0.29024615
197,3,0.102046907,0.239949706,0.233136061,0.070505182,0.006265939,0.009675131,42.95659702,12035,0.042199418,0.9533699,64.58959429,233.8041937,0.276255072
198,3,0.126285767,0.238870137,0.225718103,0.085486581,0.003229834,0.018030503,28.74836547,12433,0.042007882,0.95425696,65.6008413,239.519526,0.27388515
199,3,0.104183929,0.230772021,0.256260703,0.076522707,0.008423516,0.042249636,39.39888756,12202,0.043228241,0.952379409,65.9777971,231.6762794,0.28478443
200,3,0.10463311,0.245998569,0.263292665,0.076166712,0.00271414,0.016573579,43.24706427,12225,0.041192474,0.951919268,65.26112546,229.1639983,0.284779136
201,3,0.115082584,0.229532703,0.260208528,0.084725024,0.000790957,0.014815256,29.35895372,12372,0.041392176,0.953790772,65.11213614,234.3378962,0.277855768
202,3,0.176717418,0.25060499,0.248279953,0.075304319,0.000860869,0.014850452,38.84826176,12095,0.041621,0.952545416,65.11720008,229.7513353,0.283424686
203,3,0.111245834,0.238521775,0.238428138,0.097569084,0.005003779,0.035919799,93.40610826,12408,0.043197695,0.956281725,62.82210553,236.4987537,0.265633981
204,3,0.098679328,0.244924924,0.286158261,0.067150145,0.012837041,0.007150969,78.88220419,12691,0.039808211,0.949914433,67.041623,228.7366225,0.293095274
205,3,0.146740406,0.242186662,0.257270259,0.086194493,0.005080667,0.008586991,35.16187488,12422,0.041348092,0.955653372,64.05940988,231.7374686,0.276430956
206,3,0.11360113,0.22803751,0.246505201,0.090307249,0.00671135,0.013460645,43.95533623,12370,0.041673727,0.955056793,65.881343,235.5449621,0.279697525
207,3,0.171606271,0.268071356,0.260675962,0.103816575,0.005930124,0.016135653,46.3446623,12668,0.040233739,0.947581863,67.92758395,227.1817587,0.299001048
208,3,0.095154108,0.244232641,0.254968423,0.031253528,0.014819896,0.000392343,68.73112556,12127,0.041902449,0.954692348,63.36887748,228.4712684,0.277360379
209,3,0.083321507,0.260559856,0.248772978,0.063091986,0.004606946,0.011593013,44.7595749,12162,0.041483473,0.948213972,66.01541197,229.2638461,0.287945147
210,3,0.08739565,0.229871136,0.274858545,0.072292991,0.005709286,0.014850552,29.77408945,12529,0.040787693,0.950834569,66.00740371,230.8689583,0.285908527
211,3,0.106668052,0.243370387,0.235968654,0.078473688,0.007260952,0.019403143,12.0713326,12633,0.04157334,0.954043251,66.82197392,238.2089633,0.280518302
212,3,0.129008837,0.229890828,0.221607103,0.130919871,0.003504762,0.04307137,85.39194024,12223,0.04343999,0.957259282,63.60628279,241.4346989,0.26345129
213,3,0.105780617,0.238183433,0.240886264,0.070434306,0.001735547,0.01175856,76.43923554,12443,0.041656514,0.957591459,63.07046225,236.9978427,0.266122516
214,3,0.120311685,0.245117919,0.248211345,0.099357915,0.00127787,0.025549512,70.14685898,12764,0.041217252,0.954563841,65.03693558,239.4645938,0.271593118
215,3,0.120848198,0.225398788,0.229890989,0.130442636,0.003855424,0.042215734,82.02386104,12564,0.044094954,0.95575015,65.13126722,243.2729549,0.267729174
216,3,0.10381286,0.228892369,0.249539538,0.106036504,0.007716453,0.023535264,35.72841824,12151,0.042688832,0.955027108,63.51716724,237.2310502,0.267743903
217,3,0.088753412,0.243942355,0.250742574,0.060945457,0.003546429,0.016689446,36.25926943,12233,0.041956511,0.954019946,61.61867456,233.6472672,0.26372521
218,3,0.090165521,0.227024532,0.218308647,0.065624394,0.003510138,0.012437729,72.59803879,12070,0.043018393,0.960456634,62.85439033,239.4233659,0.262524044
219,3,0.111347802,0.237007525,0.252381931,0.088138459,0.007645632,0.012231426,38.90676435,12951,0.040510385,0.953707419,68.0595687,238.4937206,0.285372581
220,3,0.187939348,0.25548128,0.244632434,0.104278016,0.001621498,0.015682576,71.19041025,12803,0.040129188,0.950847891,68.38448897,233.5023934,0.292864189
221,3,0.11126249,0.25056569,0.254331533,0.075026146,0.005878523,0.014374048,72.74145748,12894,0.040252676,0.954508168,64.53920746,235.7563477,0.273753848
222,3,0.134890978,0.252134071,0.270328663,0.096981375,0.000507091,0.022310186,31.82017091,11972,0.041435683,0.94822042,66.49164924,222.3868154,0.298990968
223,3,0.096130079,0.175452122,0.265300841,0.087141218,0.000346483,0.01155157,45.01407478,12206,0.042648861,0.951366369,64.24321282,236.2977137,0.271874035
224,3,0.124795943,0.249474386,0.225236965,0.07870534,0.00636283,0.015988667,104.9467273,12422,0.042419256,0.959068273,62.93732751,239.1760123,0.263142306
225,3,0.094813629,0.240016338,0.243939853,0.059960775,0.004638905,0.016900017,81.94968086,12179,0.042464406,0.957102141,60.86380584,234.2437092,0.259831122
226,3,0.093813077,0.242924433,0.250154208,0.064012055,0.00380162,0.017322945,28.22391314,11669,0.043020482,0.953339687,62.68545499,229.8786168,0.272689369
227,3,0.145134941,0.23745979,0.229287235,0.089224813,0.003733669,0.016055952,53.91208282,12596,0.042556843,0.959368054,63.38297955,242.0453412,0.261864076
228,3,0.137635612,0.238560158,0.24508349,0.086578698,0.000623807,0.013613233,39.93267466,13001,0.040906084,0.956702234,64.67403545,240.5988967,0.268804372
229,3,0.133188052,0.213864076,0.234031842,0.116357616,0.000441083,0.018452499,78.77918156,12793,0.041871805,0.957052976,65.91212358,244.7797897,0.269271101
230,3,0.129988235,0.261330921,0.260676753,0.009933053,0.002419486,0.014016889,169.1707675,12343,0.041574496,0.953271112,61.46602766,231.321812,0.265716523
231,3,0.120439358,0.26172262,0.231720083,0.079785172,0.002275202,0.023601393,92.18537576,13052,0.040546583,0.953425125,67.54295096,239.419726,0.282111053
232,3,0.139395628,0.242012213,0.246206434,0.091869108,0.002915997,0.020855144,30.70559031,12777,0.041496439,0.958434545,63.79784567,240.8236414,0.264915211
233,3,0.125158244,0.233354733,0.241051429,0.091799949,0.00373372,0.017504677,34.24722784,13185,0.040618127,0.95476811,66.34921496,244.4117817,0.27146488
234,3,0.11112184,0.250659642,0.25378301,0.007094193,0.000440019,0.020931905,164.8047715,13194,0.039487191,0.950813868,68.50383319,236.5308131,0.289619066
235,3,0.169647392,0.249089368,0.239954279,0.080325377,0.002381972,0.013780431,41.83735265,13250,0.04030717,0.954201194,67.85624053,243.3004726,0.278898926
236,3,0.122511137,0.240392926,0.277552366,0.078290327,0.004141405,0.027796561,108.3898193,13215,0.039946425,0.949278258,67.49839195,237.0389498,0.284756543
237,3,0.09670386,0.234322285,0.23696141,0.060877352,0.001176231,0.018323219,37.67444538,12863,0.0409752,0.958484983,64.10410456,241.710639,0.265210108
238,3,0.097017225,0.251669921,0.229882064,0.065564963,0.008042122,0.017637157,91.55627837,12877,0.041371903,0.957065208,64.76557319,242.5383968,0.267032247
239,3,0.126954564,0.215133679,0.237935247,0.100111236,0.000197735,0.020690712,54.09054466,12888,0.041393001,0.95931882,65.05775359,246.9825706,0.263410302
240,3,0.096860413,0.255247448,0.249937823,0.065724136,0.003385914,0.02233251,87.53829835,12202,0.041558843,0.949918435,65.84037823,229.2358936,0.287216706
241,3,0.092394865,0.246586734,0.250777942,0.054278763,0.003533762,0.026712425,29.71055682,12243,0.041384465,0.945161483,68.27418352,228.5269585,0.298757678
242,3,0.12487648,0.227705934,0.243226835,0.09823912,0.001460515,0.017710617,31.96466965,11780,0.043197114,0.958592113,62.56660246,231.2508202,0.270557321
243,3,0.08670166,0.239008306,0.250352507,0.068399807,0.004967122,0.016282468,36.27789709,13340,0.040093478,0.954621181,66.46156777,243.2085034,0.273269918
244,3,0.121817699,0.225592788,0.238749208,0.091757894,0.000558181,0.021801803,66.51413278,13040,0.04106273,0.958774843,65.13744129,245.7026549,0.265106787
245,3,0.145700522,0.222633579,0.235085736,0.095244142,0.000443052,0.01321179,46.90100055,12280,0.043361726,0.963227667,60.18270897,243.4850915,0.247172049
246,3,0.097308497,0.25872458,0.256668159,0.063462525,0.006033926,0.018696904,46.58191031,11767,0.042394493,0.951599761,62.68430481,225.8755991,0.277516939
247,3,0.100626154,0.215894146,0.235201881,0.069710213,0.003964302,0.02278859,81.06680904,11664,0.043816015,0.961356624,60.55885013,235.2372824,0.257437297
248,3,0.097101814,0.241719896,0.25117768,0.072094301,0.003725673,0.02198274,76.86951407,13376,0.040246411,0.955396588,66.62448238,243.1369417,0.274020401
249,3,0.110394098,0.228389937,0.23501229,0.075790752,0.002245616,0.014234247,82.0510374,12130,0.042427205,0.958152819,63.77366681,237.8841901,0.268087033
250,3,0.139508174,0.21725321,0.242545118,0.068634005,0.004071912,0.012798187,29.36534759,12376,0.042055026,0.96043837,61.67304187,241.6862687,0.255178096
251,3,0.127665866,0.228520041,0.248661283,0.097655484,0.003556093,0.016412244,66.10642122,13289,0.040645647,0.957872916,65.29335202,247.1939316,0.264138167
252,3,0.099182417,0.244924623,0.260564774,0.01093324,0.003043265,0.015081678,175.0569993,13353,0.039448663,0.955532223,65.04814198,240.9903979,0.269920057
253,3,0.109178623,0.239782759,0.240187592,0.076933904,0.000521607,0.016214209,30.66944542,13376,0.040318182,0.958012154,65.24565133,246.2579691,0.264948386
254,3,0.106466575,0.248087946,0.27125595,0.072153935,0.002506094,0.015441909,74.54355267,13079,0.041855341,0.956356015,63.52868648,239.1550333,0.265638091
255,3,0.086205233,0.226958966,0.247426144,0.061217291,0.003564736,0.011344103,39.59275174,13543,0.040074577,0.955618711,67.41879532,245.6745109,0.27442324
256,3,0.094491579,0.23078748,0.256178167,0.071707393,0.008718616,0.015565744,92.23697285,12922,0.040757468,0.9564255,66.31739678,241.288782,0.274846581
257,3,0.082683992,0.234222521,0.237674346,0.062811658,0.008916675,0.016105405,42.88148114,11397,0.044386154,0.955828883,61.57059765,229.0440836,0.26881549
258,3,0.096686057,0.265623503,0.272079965,0.05959676,0.007123915,0.013690924,94.30393729,11730,0.041790708,0.946898422,64.79351448,219.3573265,0.295378848
259,3,0.089675082,0.265392939,0.276447572,0.035751558,0.01558968,0.000530014,73.02239246,12597,0.039609748,0.942273743,70.13904594,223.9253905,0.313225069
260,3,0.090537808,0.246469121,0.251921676,0.086396392,0.004714758,0.024206761,69.780417,11613,0.04267545,0.948363361,65.31117204,224.9213365,0.290373395
261,3,0.083829165,0.250834962,0.247692238,0.065817328,0.005447104,0.014531179,31.60048042,11505,0.042597132,0.949353942,65.30656925,223.147181,0.292661413
262,3,0.110609571,0.243889232,0.250578086,0.083202293,0.011300684,0.023382524,32.17110353,13658,0.040342656,0.954393928,66.73843757,247.1076408,0.270078405
263,3,0.125873971,0.253172867,0.246858851,0.080217661,0.004295768,0.017389204,90.84277361,13468,0.040035343,0.957938913,65.71893775,243.294215,0.270121251
264,3,0.110938968,0.244456322,0.235022563,0.087606715,0.013079875,0.01736472,94.03646757,13681,0.039927125,0.955476831,68.43120643,249.1237333,0.274687624
265,3,0.11141152,0.255866193,0.249359735,0.068067329,0.003551023,0.014860397,77.85609423,11333,0.042772258,0.948981093,63.49523191,220.1989792,0.288353889
266,3,0.103509495,0.263608213,0.275507802,0.07211814,0.008946488,0.015996248,82.52380067,11785,0.041189393,0.942124639,67.61348662,217.1180973,0.311413408
267,3,0.15105923,0.234854333,0.268219036,0.060028041,0.007410143,0.018455124,85.81697644,11807,0.041536377,0.943194077,68.7443935,221.9401394,0.30974295
268,3,0.112837349,0.251650822,0.268178748,0.089720925,0.006732454,0.013352201,46.02170544,11300,0.04223115,0.947774533,64.43308703,216.0064036,0.298292486
269,3,0.100908381,0.275480794,0.255519747,0.051252485,0.005139787,0.012716072,94.11983521,13395,0.038461963,0.940319085,73.13600299,231.2122828,0.316315388
270,3,0.12482084,0.254348424,0.254463756,0.072062383,0.000422213,0.010149127,58.92544676,11125,0.043773483,0.949630403,61.87889523,218.1173787,0.283695392
271,3,0.091403958,0.238541076,0.271518019,0.069874689,0.004259674,0.015643542,37.86451624,11607,0.041679935,0.944727608,68.16953958,218.9746232,0.31131251
272,3,0.124409153,0.259793693,0.238210933,0.09855474,0.004103633,0.019899037,29.33028045,11162,0.043717345,0.947663004,64.06766173,218.5841492,0.293102963
273,3,0.173554616,0.247473327,0.251183253,0.046262785,0.000467535,0.056616926,93.29064153,10901,0.045173837,0.947874853,62.86270055,220.9860972,0.284464504
