ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
294,4,0.092715144,0.303376113,0.287585672,0.062648564,0.014768158,0.014682714,91.04389867,12954,0.037420102,0.921707677,78.27241187,213.6088668,0.366428665
295,4,0.118512497,0.297844674,0.307698709,0.064163454,0.006379779,0.023030043,90.14501967,13538,0.036476584,0.922627327,78.77253182,218.618477,0.360319644
296,4,0.135176716,0.290773364,0.293443768,0.097782447,0.005644765,0.02533285,99.01925933,13236,0.03762874,0.927032648,76.12252374,220.1120527,0.345835327
297,4,0.129842502,0.293834854,0.292368853,0.066233889,0.004054781,0.0165431,105.7810272,13045,0.037464622,0.924387385,77.96219001,216.3492902,0.360353343
298,4,0.139438043,0.311522476,0.287785407,0.018014486,0.002635769,0.018288213,144.0138451,13439,0.037122479,0.925810303,76.77106222,217.9821924,0.352189605
299,4,0.09633532,0.301371564,0.281698908,0.055154734,0.008949299,0.015130185,48.17719841,13683,0.036575386,0.922895303,80.56767932,221.6684491,0.363460292
300,4,0.141739505,0.299457602,0.301979816,0.084590434,0.006315552,0.018567302,98.89129161,13477,0.036531869,0.923201896,79.02328975,216.1102748,0.365661882
301,4,0.142035246,0.305666578,0.279481625,0.074168858,0.01025016,0.01580769,97.67496141,13165,0.037238055,0.926464652,77.64790265,217.2993988,0.35733142
302,4,0.126668842,0.310324862,0.277000168,0.070857919,0.005684084,0.023304589,120.7081152,13720,0.036649125,0.92426239,79.557416,221.7884067,0.358708632
303,4,0.120519208,0.299368787,0.290661506,0.07124251,0.004577704,0.018079444,53.52963422,13681,0.036093414,0.924706305,79.62774269,219.9503177,0.362026041
304,4,0.142357215,0.309360847,0.289369898,0.083241958,0.0069999,0.023008074,49.71510048,13209,0.037779544,0.922782231,78.90004224,215.9418362,0.365376361
305,4,0.11678205,0.312697023,0.293008447,0.061318041,0.009392279,0.016747483,47.02218986,13667,0.036432428,0.923318546,78.69000607,217.9175966,0.361099825
306,4,0.160651453,0.283404117,0.268381707,0.105444707,0.005454214,0.020915785,32.83613015,13320,0.037526802,0.932091896,75.53827608,224.3836459,0.336647868
307,4,0.214697013,0.309635035,0.300196242,0.100857328,0.00300911,0.013170989,52.72958205,13022,0.036856243,0.920139214,79.47048712,211.1631597,0.376346363
308,4,0.127274604,0.301246343,0.307156447,0.0642659,0.004023109,0.021584909,47.97815247,13041,0.03696672,0.919820873,79.5911914,211.7197882,0.375927031
309,4,0.112957619,0.335639131,0.289182961,0.057127215,0.007875014,0.01670292,58.72747331,13437,0.036281164,0.919166755,77.57813412,213.300638,0.363703245
310,4,0.092801215,0.304872149,0.294396522,0.059146514,0.009111578,0.01579691,43.2827178,13306,0.036479333,0.917453476,80.65159921,215.5574901,0.374153546
311,4,0.111000328,0.31229815,0.290518977,0.059082747,0.009091254,0.013028209,108.1668843,13213,0.036836827,0.92458711,78.83500705,215.1647348,0.366393717
312,4,0.108568381,0.300647783,0.2776799,0.058396083,0.005554002,0.01338428,50.30185835,13174,0.037729164,0.933287075,74.49170491,220.4165192,0.337958812
313,4,0.151438563,0.312904608,0.314110981,0.091302637,0.003063603,0.025950133,83.25655768,13144,0.037371729,0.917714801,78.90087615,211.9465192,0.372267855
314,4,0.117807139,0.300583671,0.276573794,0.072111489,0.00607696,0.018046103,93.28808358,13430,0.037272375,0.933768011,74.4739955,224.1802996,0.332205799
