ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
385,5,0.080694966,0.196249923,0.187318791,0.092861724,0.005132865,0.018749301,74.06987485,11426,0.047867845,0.968865199,55.76916224,252.3488699,0.221000246
386,5,0.097219837,0.214400222,0.213476323,0.087325956,0.015045728,0.020652954,114.5584447,12338,0.044899416,0.965726678,61.01143068,253.0075694,0.241144685
387,5,0.104653483,0.208814621,0.225979808,0.0903505,0.003291966,0.013239561,33.82770623,11703,0.044779458,0.963952349,58.52997834,241.2796916,0.242581454
388,5,0.096056473,0.219688143,0.218307011,0.081686403,0.012860697,0.017000445,111.0276815,12563,0.044263711,0.964578439,61.06259343,251.2335601,0.243051101
389,5,0.099829888,0.195061955,0.21538708,0.074295585,0.007586133,0.014367828,28.33979154,12186,0.044426391,0.965063638,61.38356712,251.1829178,0.244377952
390,5,0.087973686,0.203851155,0.212890689,0.080961846,0.006881239,0.01331664,65.64536086,12006,0.04549342,0.968108412,57.27946043,251.2396779,0.227987318
391,5,0.118062366,0.205652463,0.223728698,0.091648337,0.004804729,0.014936759,63.37396896,12072,0.044157389,0.96060373,62.56478415,243.5753948,0.256860034
392,5,0.079838525,0.204568089,0.226578412,0.076261938,0.008512527,0.013246009,58.20857424,12277,0.043777307,0.962378366,61.77279987,246.1279709,0.250978382
393,5,0.074115191,0.212263648,0.215663194,0.074257131,0.005866231,0.023385715,70.71426674,11671,0.045446406,0.963269961,58.59923759,243.5074288,0.240646611
394,5,0.095236216,0.2058696,0.229709728,0.090602136,0.006780166,0.019261927,63.21868682,12021,0.043620997,0.960688044,62.5628268,243.6217256,0.256803151
395,5,0.133515406,0.220303972,0.215030104,0.107454116,0.005479426,0.019932604,73.20225521,12545,0.043567079,0.962644818,61.4819665,249.7895134,0.246135099
396,5,0.103314984,0.197867961,0.224233039,0.077663325,0.014602368,0.016820306,33.14203587,12250,0.044008653,0.961661432,62.61375362,245.2470753,0.25530887
397,5,0.083461338,0.195806893,0.212182722,0.089368967,0.008815457,0.020568405,24.34326797,12165,0.045327086,0.968212984,58.87431948,255.1406639,0.230752396
398,5,0.126884951,0.192155123,0.245821042,0.138084544,0.006253677,0.014458217,34.30347686,12002,0.043956174,0.959598748,62.55149967,242.2354625,0.258226021
