ID,Species, Lk, P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity, CD, AB,CD/AB
1,1,0.122489628,0.244683888,0.249861513,0.083051748,0.003457204,0.017601994,64.17718795,12816,0.040089732,0.95100843,68.59411359,233.60211,0.293636533
2,1,0.116375521,0.247566807,0.243657679,0.081247553,0.004430271,0.016800872,23.43262645,12998,0.040238575,0.951187555,69.00000734,237.1963879,0.290898221
3,1,0.106072294,0.264594982,0.247112864,0.064978595,0.005443942,0.017562622,77.75320337,12945,0.040010351,0.9472968,69.5833773,232.8310335,0.298857829
4,1,0.100474807,0.249978719,0.234651671,0.075062122,0.006403431,0.020503089,40.00529092,12410,0.040554633,0.944750978,71.62557187,228.2066471,0.313862776
5,1,0.109839269,0.23623323,0.252524781,0.085420769,0.006144,0.018098154,28.41640436,13093,0.039914458,0.94709489,71.85495366,236.9464913,0.303253926
6,1,0.099777982,0.27993014,0.259261389,0.053399494,0.022223207,0.00682794,35.80229751,13104,0.039399344,0.942876506,71.51584545,229.4875525,0.311632787
7,1,0.096007922,0.265378339,0.262345057,0.06828426,0.007863923,0.018007986,40.32157479,12659,0.039831345,0.940531365,72.48103256,225.4672427,0.321470346
8,1,0.096307893,0.270098579,0.252854665,0.072450809,0.010357812,0.02066125,84.54355032,13362,0.039144963,0.944593332,71.89362929,235.1421807,0.305745354
9,1,0.101814659,0.263828731,0.256651814,0.073560668,0.015721858,0.010509665,73.80780373,13128,0.039365555,0.944603668,71.1217332,233.5418799,0.304535243
10,1,0.11720926,0.268674432,0.253817922,0.07773856,0.007433972,0.023216535,109.405801,13268,0.039522535,0.94759015,69.69043754,233.4747499,0.298492396
11,1,0.107285935,0.260639569,0.26211276,0.073145729,0.005659362,0.017064125,41.19860546,13211,0.039093407,0.942985784,72.44898181,231.856252,0.312473704
12,1,0.139369522,0.2645708,0.26245211,0.096793731,0.005369693,0.01881427,75.69593626,13124,0.03988883,0.948829213,66.75032225,232.227088,0.287435556
13,1,0.119839368,0.254131521,0.266953774,0.100464356,0.005156204,0.019896499,70.67414792,12799,0.039862802,0.943538084,70.63980353,230.1222657,0.3069664
14,1,0.095631236,0.258129837,0.261041025,0.067067792,0.011695317,0.021188566,85.71042314,13092,0.039170333,0.93945992,74.19558825,229.4915772,0.323304189
15,1,0.122607097,0.257291469,0.261650553,0.092517707,0.005659223,0.019390465,32.40656361,12801,0.039992422,0.947022103,69.3102954,230.2219701,0.301058563
16,1,0.110571416,0.253178399,0.246594822,0.077209137,0.005298192,0.015606797,43.07685016,12901,0.040131773,0.950333527,69.76204973,234.0605624,0.298051278
17,1,0.158991392,0.260438825,0.262890835,0.076584891,0.005392647,0.015040222,20.80316341,13406,0.039245263,0.946408941,71.03274109,233.5512977,0.304141924
18,1,0.121336006,0.264671698,0.25066891,0.091743815,0.009614417,0.021575071,102.7626847,13440,0.038994568,0.944994442,71.76582464,236.0014432,0.304090618
19,1,0.0961719,0.254410994,0.257997835,0.072790077,0.010019492,0.015349416,36.14744351,13323,0.03891586,0.944716668,72.70829997,234.4197761,0.310162825
20,1,0.137617635,0.254697868,0.248229145,0.091348075,0.013981593,0.015969283,44.15355783,12931,0.040218081,0.952460729,66.47698564,235.1238239,0.282731816
21,1,0.13473716,0.265041903,0.271946942,0.092903465,0.006372733,0.020109094,45.62527388,12517,0.039888232,0.941998216,71.37179166,222.3970151,0.320920637
22,1,0.10279236,0.264365449,0.274348192,0.070640162,0.014847965,0.011360195,68.81192301,12619,0.039553293,0.94100632,72.29129962,223.6952772,0.323168645
23,1,0.128165118,0.272211474,0.272484032,0.08584459,0.005813402,0.01869593,81.08098231,13493,0.038649003,0.944547794,71.70828013,230.9974536,0.310428877
24,1,0.112295347,0.266527516,0.23350167,0.072050806,0.004995913,0.018619041,79.63207054,12479,0.04119633,0.949336443,68.78367378,231.5157798,0.29710145
25,1,0.106548877,0.276224145,0.258529848,0.075920288,0.00759021,0.017000714,37.66196818,13567,0.038521191,0.941025274,73.55810138,232.6152642,0.31622216
26,1,0.139137156,0.254871313,0.259017948,0.120940768,0.007987945,0.033089618,86.41743868,12549,0.040730337,0.941733597,71.19190877,226.2675563,0.314635955
27,1,0.097514113,0.251851861,0.227898455,0.068216541,0.004872632,0.017127299,71.0659195,12896,0.040992246,0.954036938,68.08028147,239.7636308,0.283947491
28,1,0.151824114,0.273824987,0.280172289,0.105732241,0.011588622,0.019687988,38.44614441,13623,0.03763613,0.937704585,75.91526946,227.5563407,0.333610873
29,1,0.096000818,0.25444108,0.257538424,0.069134618,0.006018597,0.019323324,35.91387372,13424,0.039415226,0.949573494,70.3327873,239.167591,0.294073236
30,1,0.165902338,0.275569053,0.268573899,0.112601509,0.006354899,0.026032397,81.101092,12713,0.039256745,0.937502728,72.54692895,221.4434252,0.327609315
31,1,0.087681872,0.260636384,0.261855081,0.053689678,0.00409924,0.020908304,36.18342361,13593,0.038963511,0.945909227,71.43248044,236.2655002,0.302339869
32,1,0.129996354,0.269372161,0.246329742,0.093291963,0.009405642,0.022712577,101.9470123,13547,0.038374696,0.937047364,75.87437699,232.5391991,0.326286395
33,1,0.209247703,0.314260529,0.282233858,0.08803916,0.018505705,0.017265149,109.0751818,13228,0.038613698,0.93540367,72.77324645,221.6347481,0.32834764
34,1,0.144185566,0.26466084,0.252993148,0.097070401,0.00742031,0.019549261,22.76823483,12307,0.040135858,0.942072085,70.60404994,223.3841604,0.316065606
35,1,0.093047473,0.268523793,0.264119713,0.066501271,0.007710938,0.021972492,80.53872989,12272,0.040422099,0.940043771,70.66138782,221.5592435,0.318927736
